CustomerID,TotalOrders,TotalRevenue,AverageOrderValue,LifetimeMonths,PurchaseFrequency,CLTV,CustomerSegment
12346,1,77183.6,77183.6,1.0,4.272014753342554,329729.4779160904,High Value
12347,7,4310.0,615.7142857142857,12.17,4.272014753342554,32011.244036092994,High Value
12348,4,1797.24,449.31,9.4,4.272014753342554,18042.914118948825,High Value
12349,1,1757.55,1757.55,1.0,4.272014753342554,7508.279529737206,Medium Value
12350,1,334.4,334.4,1.0,4.272014753342554,1428.56173351775,Low Value
12352,8,2506.04,313.255,8.67,4.272014753342554,11602.453940110649,High Value
12353,1,89.0,89.0,1.0,4.272014753342554,380.20931304748734,Low Value
12354,1,1079.4,1079.4,1.0,4.272014753342554,4611.212724757953,Medium Value
12355,1,459.4,459.4,1.0,4.272014753342554,1962.5635776855693,Medium Value
12356,3,2811.43,937.1433333333333,10.07,4.272014753342554,40315.145770185954,High Value
12357,1,6207.67,6207.67,1.0,4.272014753342554,26519.257823881973,High Value
12358,2,1168.06,584.03,4.97,4.272014753342554,12400.07433868142,High Value
12359,4,6310.03,1577.5075,9.13,4.272014753342554,61528.30541233288,High Value
12360,3,2662.06,887.3533333333334,4.93,4.272014753342554,18688.577599938526,High Value
12361,1,189.9,189.9,1.0,4.272014753342554,811.255601659751,Low Value
12362,10,5226.23,522.6229999999999,9.73,4.272014753342554,21723.715309423696,High Value
12363,2,552.0,276.0,4.4,4.272014753342554,5187.934716459198,Medium Value
12364,4,1313.1,328.275,3.47,4.272014753342554,4866.312881742739,Medium Value
12365,2,641.38,320.69,1.0,4.272014753342554,1369.9924112494236,Low Value
12367,1,168.9,168.9,1.0,4.272014753342554,721.5432918395574,Low Value
12370,4,3541.94,885.485,10.3,4.272014753342554,38962.89133379438,High Value
12371,2,1887.96,943.98,0.47,4.272014753342554,1895.367348824343,Medium Value
12372,3,1298.04,432.68,7.47,4.272014753342554,13807.662615767635,High Value
12373,1,364.6,364.6,1.0,4.272014753342554,1557.5765790686953,Low Value
12374,1,742.9300000000001,742.9300000000001,1.0,4.272014753342554,3173.807920700784,Medium Value
12375,2,457.5,228.75,2.9,4.272014753342554,2833.9477869986167,Medium Value
12377,2,1628.12,814.06,1.3,4.272014753342554,4520.979229137851,Medium Value
12378,1,4008.62,4008.62,1.0,4.272014753342554,17124.883780544027,High Value
12379,2,852.24,426.12,2.93,4.272014753342554,5333.745415214385,Medium Value
12380,4,2724.81,681.2025,5.47,4.272014753342554,15918.286001175655,High Value
12381,5,1845.31,369.062,3.83,4.272014753342554,6038.52472307976,Medium Value
12383,5,1850.56,370.11199999999997,5.57,4.272014753342554,8806.860258847395,High Value
12384,2,585.27,292.635,3.07,4.272014753342554,3837.9329846473024,Medium Value
12386,2,401.9,200.95,0.97,4.272014753342554,832.7075237436605,Low Value
12388,6,2780.66,463.4433333333333,10.37,4.272014753342554,20530.90717359766,High Value
12390,1,549.84,549.84,1.0,4.272014753342554,2348.92459197787,Medium Value
12391,1,439.66,439.66,1.0,4.272014753342554,1878.2340064545874,Medium Value
12393,4,1582.6000000000001,395.65000000000003,8.67,4.272014753342554,14654.230264177042,High Value
12394,2,1272.48,636.24,5.1,4.272014753342554,13861.936,High Value
12395,12,3018.63,251.5525,11.7,4.272014753342554,12573.241097510372,High Value
12397,2,2409.9,1204.95,3.3,4.272014753342554,16986.961784232364,High Value
12398,1,1635.6599999999999,1635.6599999999999,1.0,4.272014753342554,6987.563651452281,Medium Value
12399,4,1108.65,277.1625,4.73,4.272014753342554,5600.520027316737,Medium Value
12401,1,84.3,84.3,1.0,4.272014753342554,360.1308437067773,Low Value
12402,1,225.6,225.6,1.0,4.272014753342554,963.7665283540802,Low Value
12403,1,427.7,427.7,1.0,4.272014753342554,1827.1407100046104,Medium Value
12405,1,1710.39,1710.39,1.0,4.272014753342554,7306.8113139695715,Medium Value
12406,2,3415.3,1707.65,5.37,4.272014753342554,39174.71918533887,High Value
12407,5,1708.1200000000001,341.624,7.13,4.272014753342554,10405.684336523744,High Value
12408,5,2888.55,577.71,7.57,4.272014753342554,18682.6513186722,High Value
12409,3,11072.67,3690.89,3.43,4.272014753342554,54082.65030806824,High Value
12410,2,693.3299999999999,346.66499999999996,1.0,4.272014753342554,1480.9579944674963,Low Value
12412,3,1226.88,408.96000000000004,3.13,4.272014753342554,5468.370270539419,Medium Value
12413,3,758.1,252.70000000000002,9.0,4.272014753342554,9715.84315352697,High Value
12414,3,562.41,187.47,3.1,4.272014753342554,2482.711278008299,Medium Value
12415,21,124914.53,5948.310952380953,10.43,4.272014753342554,265039.56848320266,High Value
12417,9,3649.1,405.4555555555555,11.8,4.272014753342554,20438.922958864812,High Value
12418,1,668.58,668.58,1.0,4.272014753342554,2856.183623789765,Medium Value
12420,1,600.39,600.39,1.0,4.272014753342554,2564.874937759336,Medium Value
12421,4,807.04,201.76,10.1,4.272014753342554,8705.409136007376,High Value
12422,3,803.5600000000001,267.85333333333335,7.63,4.272014753342554,8730.805978915016,High Value
12423,8,1859.31,232.41375,11.73,4.272014753342554,11646.423384958507,High Value
12424,2,1760.96,880.48,1.0,4.272014753342554,3761.423550023052,Medium Value
12425,1,777.2,777.2,1.0,4.272014753342554,3320.2098662978333,Medium Value
12426,1,582.73,582.73,1.0,4.272014753342554,2489.4311572153065,Medium Value
12427,3,825.8,275.26666666666665,11.63,4.272014753342554,13676.220126632856,High Value
12428,9,7956.46,884.0511111111111,8.57,4.272014753342554,32366.142366948417,High Value
12429,4,3750.4,937.6,11.87,4.272014753342554,47544.58505855232,High Value
12430,1,256.4,256.4,1.0,4.272014753342554,1095.3445827570308,Low Value
12431,15,6419.95,427.99666666666667,11.27,4.272014753342554,20606.158998278777,High Value
12432,5,5059.32,1011.8639999999999,4.3,4.272014753342554,18587.601126417703,High Value
12433,7,13375.87,1910.8385714285716,12.4,4.272014753342554,101222.81904814596,High Value
12434,2,806.14,403.07,5.83,4.272014753342554,10038.799352051637,High Value
12435,2,7829.89,3914.945,6.27,4.272014753342554,104863.88654674967,High Value
12436,1,509.01,509.01,1.0,4.272014753342554,2174.4982295988934,Medium Value
12437,18,4951.41,275.0783333333333,10.97,4.272014753342554,12891.271520623943,High Value
12438,2,2906.85,1453.425,4.17,4.272014753342554,25891.75118879668,High Value
12441,1,173.55,173.55,1.0,4.272014753342554,741.4081604426003,Low Value
12442,1,172.06,172.06,1.0,4.272014753342554,735.0428584601199,Low Value
12444,5,5005.46,1001.092,4.97,4.272014753342554,21255.098573462423,High Value
12445,1,133.4,133.4,1.0,4.272014753342554,569.8867680958967,Low Value
12446,1,1002.3100000000001,1002.3100000000001,1.0,4.272014753342554,4281.8831074227755,Medium Value
12447,1,476.49,476.49,1.0,4.272014753342554,2035.5723098201936,Medium Value
12448,1,449.45,449.45,1.0,4.272014753342554,1920.057030889811,Medium Value
12449,4,4067.29,1016.8225,5.47,4.272014753342554,23761.027546772704,High Value
12450,2,197.88,98.94,0.57,4.272014753342554,240.92368962655598,Low Value
12451,5,9035.52,1807.104,10.43,4.272014753342554,80519.3387162379,High Value
12452,2,430.57,215.285,1.0,4.272014753342554,919.7006961733517,Low Value
12453,1,707.09,707.09,1.0,4.272014753342554,3020.698911940987,Medium Value
12454,1,3528.34,3528.34,1.0,4.272014753342554,15073.120534808668,High Value
12455,6,2466.86,411.1433333333334,7.43,4.272014753342554,13050.129166036577,High Value
12456,3,3181.04,1060.3466666666666,7.0,4.272014753342554,31708.716225603195,High Value
12457,7,2363.23,337.6042857142857,5.73,4.272014753342554,8264.095304050583,High Value
12458,2,947.4,473.7,7.1,4.272014753342554,14367.93905947441,High Value
12461,2,826.88,413.44,2.0,4.272014753342554,3532.4435592438913,Medium Value
12462,2,1189.59,594.795,9.47,4.272014753342554,24063.01445408022,High Value
12463,4,1344.78,336.195,6.27,4.272014753342554,9005.1621,High Value
12464,8,1212.05,151.50625,9.97,4.272014753342554,6452.952244179345,Medium Value
12465,2,742.1899999999999,371.09499999999997,5.07,4.272014753342554,8037.589206500691,Medium Value
12468,2,729.5400000000001,364.77000000000004,4.27,4.272014753342554,6653.95304813278,Medium Value
12471,30,19788.65,659.6216666666667,12.07,4.272014753342554,34012.21584390656,High Value
12472,7,6572.11,938.8728571428571,11.2,4.272014753342554,44921.84140894421,High Value
12473,5,3928.0499999999997,785.6099999999999,5.4,4.272014753342554,18123.142556016595,High Value
12474,18,7324.09,406.8938888888889,10.4,4.272014753342554,18077.8696423339,High Value
12475,1,723.38,723.38,1.0,4.272014753342554,3090.290032272937,Medium Value
12476,11,6816.42,619.6745454545454,11.5,4.272014753342554,30443.47620520558,High Value
12477,6,13219.74,2203.29,9.27,4.272014753342554,87253.75806721991,High Value
12478,1,680.99,680.99,1.0,4.272014753342554,2909.199326878746,Medium Value
12479,1,527.2,527.2,1.0,4.272014753342554,2252.2061779621945,Medium Value
12480,4,3281.63,820.4075,10.23,4.272014753342554,35854.03181459198,High Value
12481,10,5579.82,557.982,11.4,4.272014753342554,27174.263631535272,High Value
12483,8,2484.98,310.6225,10.73,4.272014753342554,14238.537276187184,High Value
12484,6,4527.32,754.5533333333333,10.1,4.272014753342554,32556.976019056397,High Value
12488,3,1298.66,432.8866666666667,2.17,4.272014753342554,4012.9771515598586,Medium Value
12489,1,334.93,334.93,1.0,4.272014753342554,1430.8259013370216,Low Value
12490,10,5417.93,541.793,10.8,4.272014753342554,24997.115043983405,High Value
12491,1,460.40000000000003,460.40000000000003,1.0,4.272014753342554,1966.835592438912,Medium Value
12492,2,263.21000000000004,131.60500000000002,1.4,4.272014753342554,787.1059022591056,Low Value
12493,2,433.74,216.87,1.03,4.272014753342554,954.2659947441217,Low Value
12494,7,1246.1000000000001,178.01428571428573,11.63,4.272014753342554,8844.378386221433,High Value
12497,1,1043.1,1043.1,1.0,4.272014753342554,4456.138589211618,Medium Value
12498,3,403.70000000000005,134.5666666666667,1.2,4.272014753342554,689.8449423697558,Low Value
12500,11,4257.82,387.07454545454544,10.33,4.272014753342554,17081.56578396412,High Value
12501,1,2169.39,2169.39,1.0,4.272014753342554,9267.666085753803,High Value
12502,5,3723.87,744.774,7.13,4.272014753342554,22685.417728409404,High Value
12504,2,482.04999999999995,241.02499999999998,0.4,4.272014753342554,411.8649423697556,Low Value
12506,1,73.5,73.5,1.0,4.272014753342554,313.9930843706777,Low Value
12507,3,1304.81,434.93666666666667,5.47,4.272014753342554,10163.565536529892,High Value
12508,2,397.88,198.94,0.07,4.272014753342554,59.491223052097745,Low Value
12509,1,176.5,176.5,1.0,4.272014753342554,754.0106039649608,Low Value
12510,2,982.5699999999999,491.28499999999997,6.07,4.272014753342554,12739.574982342092,High Value
12512,2,132.18,66.09,1.0,4.272014753342554,282.3374550484094,Low Value
12513,1,612.29,612.29,1.0,4.272014753342554,2615.711913324112,Medium Value
12514,1,1017.68,1017.68,1.0,4.272014753342554,4347.54397418165,Medium Value
12515,1,383.7,383.7,1.0,4.272014753342554,1639.1720608575379,Medium Value
12516,2,1312.06,656.03,3.4,4.272014753342554,9528.737451360073,High Value
12517,5,2481.6,496.32,5.37,4.272014753342554,11385.937765975103,High Value
12518,5,2056.89,411.378,3.63,4.272014753342554,6379.408773278007,Medium Value
12519,1,330.84,330.84,1.0,4.272014753342554,1413.3533609958504,Low Value
12520,5,2634.26,526.8520000000001,6.47,4.272014753342554,14562.155273877366,High Value
12521,1,599.68,599.68,1.0,4.272014753342554,2561.8418072844624,Medium Value
12522,2,192.72,96.36,0.4,4.272014753342554,164.66053665283542,Low Value
12523,11,1789.77,162.70636363636365,10.4,4.272014753342554,7228.873453539545,Medium Value
12524,8,4485.72,560.715,10.8,4.272014753342554,25870.13372614108,High Value
12526,3,1316.66,438.8866666666667,3.1,4.272014753342554,5812.283976640541,Medium Value
12527,3,348.71000000000004,116.23666666666668,8.1,4.272014753342554,4022.174514522822,Medium Value
12528,6,1933.48,322.24666666666667,10.1,4.272014753342554,13904.089393576149,High Value
12530,4,1662.28,415.57,9.23,4.272014753342554,16386.2144087598,High Value
12531,1,125.22,125.22,1.0,4.272014753342554,534.9416874135546,Low Value
12532,1,349.83000000000004,349.83000000000004,1.0,4.272014753342554,1494.4789211618258,Low Value
12534,1,1089.18,1089.18,1.0,4.272014753342554,4652.993029045643,Medium Value
12535,2,716.35,358.175,3.13,4.272014753342554,4789.303407791609,Medium Value
12536,3,12601.830000000002,4200.610000000001,0.5,4.272014753342554,8972.533946519134,High Value
12538,1,363.95,363.95,1.0,4.272014753342554,1554.7997694790224,Low Value
12539,4,5568.35,1392.0875,10.37,4.272014753342554,61670.58016447671,High Value
12540,17,13400.24,788.2494117647059,11.4,4.272014753342554,38388.50952664551,High Value
12541,3,981.18,327.06,8.37,4.272014753342554,11694.607065560165,High Value
12544,1,372.7,372.7,1.0,4.272014753342554,1592.1798985707699,Low Value
12545,2,1000.39,500.195,6.13,4.272014753342554,13098.831771830337,High Value
12546,2,1161.5,580.75,1.03,4.272014753342554,2555.4017450437987,Medium Value
12547,2,207.79999999999998,103.89999999999999,2.73,4.272014753342554,1211.7441687413555,Low Value
12548,1,95.19999999999999,95.19999999999999,1.0,4.272014753342554,406.6958045182111,Low Value
12550,1,964.83,964.83,1.0,4.272014753342554,4121.7679944674965,Medium Value
12551,1,168.0,168.0,1.0,4.272014753342554,717.6984785615491,Low Value
12552,2,437.82,218.91,1.0,4.272014753342554,935.1867496542185,Low Value
12553,10,3692.28,369.228,10.7,4.272014753342554,16877.61785781466,High Value
12556,2,599.56,299.78,3.33,4.272014753342554,4264.613060580912,Medium Value
12557,5,11990.960000000001,2398.192,11.83,4.272014753342554,121199.67029126787,High Value
12558,1,269.96,269.96,1.0,4.272014753342554,1153.2731028123558,Low Value
12559,2,561.71,280.855,0.27,4.272014753342554,323.95050995850625,Low Value
12560,3,2134.01,711.3366666666667,4.57,4.272014753342554,13887.502157092364,High Value
12561,1,238.85,238.85,1.0,4.272014753342554,1020.3707238358691,Low Value
12562,7,3781.7400000000002,540.2485714285715,6.33,4.272014753342554,14609.322662003558,High Value
12564,1,456.9,456.9,1.0,4.272014753342554,1951.8835408022128,Medium Value
12565,1,145.92,145.92,1.0,4.272014753342554,623.3723928077454,Low Value
12566,1,351.65,351.65,1.0,4.272014753342554,1502.253988012909,Low Value
12567,10,9401.28,940.128,11.53,4.272014753342554,46307.25510993085,High Value
12569,32,4124.69,128.8965625,8.33,4.272014753342554,4586.89797873732,Medium Value
12571,2,519.61,259.805,2.7,4.272014753342554,2996.705141078838,Medium Value
12572,2,1020.42,510.21,1.43,4.272014753342554,3116.8632456431533,Medium Value
12573,1,160.54000000000002,160.54000000000002,1.0,4.272014753342554,685.8292485016137,Low Value
12574,1,218.45,218.45,1.0,4.272014753342554,933.2216228676809,Low Value
